DATE;OPEN;HIGH;LOW;CLOSE
30.03.2021;228.9500000;230.1000000;225.0400000;225.9300000
31.03.2021;226.4000000;228.4000000;223.3200000;227.2400000
01.04.2021;228.4300000;231.6700000;225.7500000;226.9400000
02.04.2021;227.0000000;229.2000000;226.5400000;228.4000000
05.04.2021;227.9000000;227.9200000;224.1300000;225.0600000
06.04.2021;226.0100000;226.5500000;221.9100000;222.9500000
07.04.2021;222.3100000;226.0100000;220.6800000;224.5100000
08.04.2021;224.8400000;226.3000000;222.8800000;224.3000000
09.04.2021;224.1700000;224.3000000;221.4800000;222.1500000
12.04.2021;220.9500000;224.2500000;219.6000000;222.8700000
13.04.2021;223.0200000;228.3300000;221.1000000;227.9900000
14.04.2021;230.5800000;236.5800000;229.3100000;235.3200000
15.04.2021;230.1000000;236.3900000;228.2300000;234.6300000
16.04.2021;235.4900000;237.4500000;232.7000000;235.1000000
19.04.2021;234.7400000;234.9000000;230.2800000;231.1700000
20.04.2021;231.5800000;233.1700000;229.0000000;230.0000000
21.04.2021;229.9300000;231.8000000;228.3700000;230.8400000
22.04.2021;230.6800000;232.1500000;227.1400000;230.9300000
23.04.2021;231.3000000;233.3000000;230.0000000;232.6200000
26.04.2021;233.0200000;234.9100000;232.1600000;233.2300000
27.04.2021;233.5000000;235.1400000;231.2100000;232.0000000
28.04.2021;232.5500000;233.2400000;230.2000000;232.9600000
29.04.2021;234.0800000;236.1800000;229.0000000;230.5100000
30.04.2021;230.1100000;231.6000000;228.8600000;231.3800000
04.05.2021;232.2000000;234.3000000;230.9600000;233.8000000
05.05.2021;234.2100000;237.7700000;233.6900000;237.5000000
06.05.2021;237.9000000;243.3200000;237.7500000;243.0000000
07.05.2021;243.4900000;243.9900000;240.7800000;241.7000000
10.05.2021;242.3500000;244.3000000;240.5200000;241.4100000
11.05.2021;240.2000000;243.1700000;239.0500000;242.5000000
12.05.2021;242.1100000;244.4200000;241.5600000;241.7900000
13.05.2021;242.2500000;247.2900000;242.0500000;247.1600000
14.05.2021;248.0000000;250.4000000;247.5300000;249.5500000
17.05.2021;250.0000000;255.2500000;249.4500000;255.1500000
18.05.2021;256.1100000;268.3800000;254.5400000;266.2200000
19.05.2021;263.9000000;264.5000000;256.0000000;260.9000000
20.05.2021;260.8000000;262.7800000;256.9000000;259.1600000
21.05.2021;260.0400000;260.7000000;257.1200000;258.0000000
24.05.2021;258.6900000;261.4700000;257.1200000;261.2400000
25.05.2021;262.3300000;262.7200000;258.3100000;259.7900000
26.05.2021;260.5200000;263.3300000;260.0100000;263.0900000
27.05.2021;261.9800000;263.7500000;261.2200000;262.9600000
28.05.2021;263.7900000;265.9300000;261.3500000;262.0000000
31.05.2021;261.0000000;261.6000000;259.3000000;261.0300000
01.06.2021;261.9700000;264.7600000;261.5800000;263.8600000
02.06.2021;264.0500000;271.3600000;263.5500000;271.1500000
03.06.2021;272.3300000;274.3000000;268.2000000;272.1000000
04.06.2021;271.9200000;276.2200000;269.5800000;274.3000000
07.06.2021;274.0500000;276.7000000;273.8500000;275.6700000
08.06.2021;275.5000000;277.5800000;272.9100000;275.3600000
09.06.2021;275.9300000;276.3900000;273.7600000;275.6500000
10.06.2021;275.4000000;277.7700000;274.3200000;276.1000000
11.06.2021;276.5800000;278.0000000;274.8500000;277.0500000
14.06.2021;277.6200000;280.4500000;277.2200000;279.5000000
15.06.2021;279.9200000;280.1400000;272.6300000;272.7200000
16.06.2021;272.9900000;275.2300000;270.1200000;271.8000000
17.06.2021;270.9000000;273.8900000;269.1000000;272.5000000
18.06.2021;271.6100000;273.1800000;268.6500000;270.0600000
21.06.2021;269.7700000;272.8600000;268.0900000;272.6200000
22.06.2021;273.5200000;277.0000000;272.8900000;277.0000000
23.06.2021;277.8900000;279.5600000;276.6700000;277.3500000
24.06.2021;278.2000000;279.4700000;275.5000000;277.4700000
25.06.2021;277.8000000;277.9200000;276.1200000;277.1900000
28.06.2021;277.2300000;279.6100000;276.4300000;276.9900000
29.06.2021;276.1200000;277.5000000;273.1700000;276.8000000
30.06.2021;277.2800000;281.8200000;276.5000000;281.8000000
01.07.2021;281.8800000;286.2500000;281.8800000;285.7400000
02.07.2021;285.7000000;286.1900000;282.8000000;285.6500000
05.07.2021;286.0000000;291.4900000;285.7800000;291.1000000
06.07.2021;292.0000000;295.9700000;291.3400000;293.4500000
07.07.2021;293.8500000;297.4800000;293.4700000;297.3900000
08.07.2021;296.4500000;297.0000000;290.3300000;292.8600000
09.07.2021;293.5100000;295.5800000;292.0000000;295.2200000
12.07.2021;295.5300000;298.4800000;294.9000000;297.3900000
13.07.2021;297.7700000;297.7700000;293.0000000;293.8300000
14.07.2021;282.8800000;286.9300000;282.8800000;284.6000000
15.07.2021;284.5800000;285.1100000;278.9600000;280.0100000
16.07.2021;279.3800000;282.0000000;278.0000000;279.6500000
19.07.2021;277.2600000;279.5100000;273.1500000;275.5100000
20.07.2021;276.7900000;278.6800000;273.1000000;277.3000000
21.07.2021;277.5400000;285.0100000;276.0000000;282.9000000
22.07.2021;283.5000000;285.0900000;281.2100000;283.2800000
23.07.2021;283.0800000;285.0000000;279.0500000;279.5100000
26.07.2021;277.3700000;281.3700000;276.7000000;281.0500000
27.07.2021;280.1900000;280.8300000;276.8400000;278.0800000
28.07.2021;278.0500000;282.9800000;277.7000000;282.2000000
29.07.2021;283.9700000;287.7500000;283.5800000;287.0000000
30.07.2021;285.3700000;287.5800000;283.2800000;287.3500000
02.08.2021;287.8800000;289.4800000;285.2100000;286.7500000
03.08.2021;286.7700000;288.0500000;284.3400000;287.0900000
04.08.2021;287.8900000;288.8000000;286.0000000;287.9400000
05.08.2021;287.3100000;288.2800000;285.1600000;285.9500000
06.08.2021;285.2600000;285.7200000;277.8700000;282.2700000
09.08.2021;282.2300000;287.9000000;280.8000000;286.6800000
10.08.2021;288.0000000;288.8000000;285.7000000;288.6100000
